LoopVal, B, b, Hops
3,1,2,22
3,2,2,32
3,3,2,34
3,4,2,40
4,1,2,55
4,2,2,51
4,3,2,47
4,4,2,35
6,1,2,42
6,2,2,47
6,3,2,37
6,4,2,19
10,1,2,75
10,2,2,59
10,3,2,44
10,4,2,40
12,1,2,72
12,2,2,69
12,3,2,61
12,4,2,56
13,1,2,94
13,2,2,78
13,3,2,63
13,4,2,59
17,1,2,118
17,2,2,119
17,3,2,104
17,4,2,67
3,1,3,22
3,2,3,32
3,3,3,34
3,4,3,43
4,1,3,51
4,2,3,51
4,3,3,55
4,4,3,39
6,1,3,42
6,2,3,35
6,3,3,37
6,4,3,25
10,1,3,75
10,2,3,59
10,3,3,44
10,4,3,40
12,1,3,57
12,2,3,54
12,3,3,46
12,4,3,41
13,1,3,81
13,2,3,65
13,3,3,50
13,4,3,46
17,1,3,118
17,2,3,102
17,3,3,87
17,4,3,84
3,1,4,22
3,2,4,32
3,3,4,34
3,4,4,40
4,1,4,51
4,2,4,51
4,3,4,47
4,4,4,47
6,1,4,36
6,2,4,41
6,3,4,25
6,4,4,37
10,1,4,85
10,2,4,49
10,3,4,34
10,4,4,50
12,1,4,72
12,2,4,69
12,3,4,61
12,4,4,56
13,1,4,94
13,2,4,52
13,3,4,37
13,4,4,46
17,1,4,101
17,2,4,85
17,3,4,70
17,4,4,67
3,1,5,22
3,2,5,32
3,3,5,34
3,4,5,40
4,1,5,55
4,2,5,51
4,3,5,47
4,4,5,35
6,1,5,36
6,2,5,41
6,3,5,31
6,4,5,19
10,1,5,75
10,2,5,59
10,3,5,34
10,4,5,30
12,1,5,72
12,2,5,69
12,3,5,61
12,4,5,56
13,1,5,81
13,2,5,78
13,3,5,37
13,4,5,33
17,1,5,84
17,2,5,68
17,3,5,53
17,4,5,50
3,1,6,25
3,2,6,32
3,3,6,34
3,4,6,40
4,1,6,55
4,2,6,55
4,3,6,47
4,4,6,35
6,1,6,36
6,2,6,41
6,3,6,31
6,4,6,25
10,1,6,75
10,2,6,59
10,3,6,44
10,4,6,30
12,1,6,57
12,2,6,54
12,3,6,46
12,4,6,41
13,1,6,81
13,2,6,65
13,3,6,50
13,4,6,33
17,1,6,84
17,2,6,68
17,3,6,53
17,4,6,50
3,1,7,25
3,2,7,35
3,3,7,34
3,4,7,40
4,1,7,55
4,2,7,55
4,3,7,51
4,4,7,35
6,1,7,36
6,2,7,41
6,3,7,31
6,4,7,25
10,1,7,75
10,2,7,59
10,3,7,44
10,4,7,40
12,1,7,57
12,2,7,54
12,3,7,46
12,4,7,41
13,1,7,81
13,2,7,65
13,3,7,50
13,4,7,46
17,1,7,84
17,2,7,68
17,3,7,53
17,4,7,50
3,1,8,22
3,2,8,35
3,3,8,37
3,4,8,40
4,1,8,55
4,2,8,55
4,3,8,51
4,4,8,39
6,1,8,36
6,2,8,41
6,3,8,31
6,4,8,25
10,1,8,75
10,2,8,59
10,3,8,44
10,4,8,40
12,1,8,57
12,2,8,54
12,3,8,46
12,4,8,41
13,1,8,81
13,2,8,65
13,3,8,50
13,4,8,46
17,1,8,101
17,2,8,68
17,3,8,53
17,4,8,50
3,1,9,22
3,2,9,35
3,3,9,37
3,4,9,43
4,1,9,59
4,2,9,55
4,3,9,51
4,4,9,39
6,1,9,42
6,2,9,41
6,3,9,31
6,4,9,25
10,1,9,75
10,2,9,59
10,3,9,44
10,4,9,40
12,1,9,57
12,2,9,54
12,3,9,46
12,4,9,41
13,1,9,81
13,2,9,65
13,3,9,50
13,4,9,46
17,1,9,101
17,2,9,85
17,3,9,53
17,4,9,50
